,Unnamed: 0.1,Unnamed: 0,Korean,English
0,0,0,내가,I
1,1,1,그 ,that
2,2,2,난 ,I am
3,3,3,내 ,my
4,4,4,안 ,not
5,5,5,수 ,number
6,6,6,이 ,this
7,7,7,네 ,yes
8,8,8,거야 ,going to be
9,9,9,좀 ,a little
10,10,10,그래 ,okay
11,11,11,있어 ,there is
12,12,12,왜 ,why
13,13,13,더 ,more
14,14,14,그리고 ,and
15,15,15,우리 ,we
16,16,16,다 ,all
17,17,17,무슨 ,what
18,18,18,한 ,one
19,19,19,하지만 ,but
20,20,20,잘 ,well
21,21,21,어떻게 ,how
22,22,22,할 ,will do
23,23,23,,
24,24,24,정말 ,really
25,25,25,그럼 ,then
26,26,26,것 ,thing
27,27,27,게 ,crab
28,28,28,있어요 ,there is
29,29,29,있는 ,there is
30,30,30,해 ,sun
31,31,31,여기 ,here
32,32,32,넌 ,you
33,33,33,제가 ,I am
34,34,34,날 ,me
35,35,35,우리가 ,we
36,36,36,건 ,case
37,37,37,전 ,jeon
38,38,38,이제 ,now
39,39,39,지금 ,now
40,40,40,그게 ,that is
41,41,41,걸 ,girl
42,42,42,거 ,thing
43,43,43,아니 ,no
44,44,44,네가 ,you
45,45,45,없어 ,doesn't exist
46,46,46,돼 ,ok
47,47,47,저 ,I
48,48,48,우린 ,we
49,49,49,제 ,my
50,50,50,못 ,pond
51,51,51,좋아 ,good
52,52,52,당신이 ,you
53,53,53,다른 ,different
54,54,54,나 ,me
55,55,55,그런 ,that
56,56,56,그건 ,that
57,57,57,너무 ,too
58,58,58,그래서 ,so
59,59,59,그렇게 ,like that
60,60,60,다시 ,again
61,61,61,이건 ,This
62,62,62,,
63,63,63,나도 ,me too
64,64,64,모든 ,every
65,65,65,당신 ,you
66,66,66,거예요 ,Will
67,67,67,당신은 ,you are
68,68,68,아 ,ah
69,69,69,좋은 ,good
70,70,70,오 ,oh
71,71,71,때 ,at the time
72,72,72,너 ,you
73,73,73,하는 ,doing
74,74,74,하고 ,do
75,75,75,아냐 ,no
76,76,76,나는 ,I am
77,77,77,아니야 ,no
78,78,78,알아 ,know
79,79,79,같이 ,together
80,80,80,응 ,huh
81,81,81,이게 ,this
82,82,82,없어요 ,no
83,83,84,오늘 ,today
84,84,85,말이야 ,I mean
85,85,86,줄 ,line
86,86,87,또 ,also
87,87,88,널 ,you
88,88,89,누가 ,who
89,89,90,어떤 ,which
90,90,91,아주 ,very
91,91,92,말 ,word
92,92,93,아직 ,yet
93,93,94,안돼 ,no
94,94,95,진짜 ,really
95,95,96,모두 ,every
96,96,97,마 ,mind
97,97,98,같은 ,same
98,98,99,여기서 ,here
99,99,100,어서 ,hurry
100,100,101,그는 ,he is
101,101,102,위해 ,for
102,102,103,해요 ,do
103,103,104,일이 ,Days
104,104,105,하지 ,summer solstice
105,105,106,엄마 ,mom
106,106,107,,
107,107,108,가 ,go
108,108,109,근데 ,however
109,109,110,알고 ,know
110,110,111,이렇게 ,like this
111,111,112,빨리 ,hurry
112,112,113,있습니다 ,there is
113,113,114,이거 ,this
114,114,115,전에 ,before
115,115,116,어 ,uh
116,116,117,아뇨 ,no
117,117,118,계속 ,continue
118,118,119,닥터 ,doctor
119,119,120,얼마나 ,how much
120,120,121,될 ,be
121,121,122,알았어 ,okay
122,122,123,않아 ,No
123,123,124,제발 ,please
124,124,125,있지 ,Yes
125,125,126,겁니다 ,I will
126,126,127,어디 ,where
127,127,128,사람이 ,People
128,128,129,그가 ,he
129,129,130,안녕 ,hi
